0.03 0.982291 0.187379 -1.17711 6.17192
0.06 0.929791 0.368122 -2.3125 5.84206
0.09 0.844362 0.535828 -3.36595 5.30531
0.12 0.72903 0.684557 -4.30015 4.58071
0.15 0.587881 0.809044 -5.08199 3.69396
0.18 0.425915 0.904883 -5.68383 2.67649
0.21 0.24887 0.968683 -6.08438 1.56436
0.24 0.0630132 0.99819 -6.26949 0.396965
0.27 -0.125074 0.992361 -6.23266 -0.784362
0.3 -0.308734 0.951407 -5.97524 -1.9378
0.33 -0.481467 0.876781 -5.50637 -3.02255
0.36 -0.637162 0.771127 -4.8427 -4.00024
0.39 -0.77031 0.638187 -4.00772 -4.83631
0.42 -0.876203 0.482665 -3.031 -5.50121
0.45 -0.951095 0.310066 -1.94708 -5.97144
0.48 -0.992337 0.126498 -0.794308 -6.23039
0.51 -0.998471 -0.0615462 0.386557 -6.26891
0.54 -0.96928 -0.247413 1.55376 -6.08565
0.57 -0.905795 -0.424525 2.66603 -5.68706
0.6 -0.810263 -0.586617 3.68403 -5.08723
0.63 -0.68606 -0.727953 4.57173 -4.30735
0.66 -0.53758 -0.843528 5.29773 -3.37497
0.69 -0.370076 -0.929251 5.8363 -2.32305
0.72 -0.189474 -0.982085 6.16835 -1.1888
0.75 -0.00216476 -1.00016 6.28208 -0.012348
0.78 0.185221 -0.98282 6.17342 1.16468
0.81 0.366048 -0.930687 5.84617 2.30059
0.84 0.533914 -0.845599 5.31186 3.35516
0.87 0.682872 -0.730567 4.58939 4.29101
0.9 0.807646 -0.589662 3.70432 5.07495
0.93 0.903815 -0.427872 2.68799 5.6792
0.96 0.96797 -0.250927 1.5764 6.08232
0.99 0.997838 -0.0650939 0.408943 6.26999
1.02 0.99236 0.123045 -0.773012 6.23557
1.05 0.951731 0.306825 -1.92757 5.98028
1.08 0.877391 0.479737 -3.01381 5.51317
1.11 0.771973 0.635657 -3.99326 4.85082
1.14 0.639214 0.769063 -4.83121 4.01671
1.17 0.483817 0.875233 -5.498 3.04042
1.2 0.311287 0.950409 -5.97004 1.95656
1.23 0.127735 0.991932 -6.23065 0.803537
1.26 -0.0603392 0.998336 -6.27066 -0.377813
1.29 -0.246278 0.969398 -6.08868 -1.54567
1.32 -0.423498 0.906145 -5.69121 -2.65869
1.35 -0.58573 0.810821 -5.09235 -3.67751
1.38 -0.727232 0.686801 -4.31332 -4.5661
1.41 -0.842998 0.538476 -3.38171 -5.29305
1.44 -0.928934 0.371096 -2.33049 -5.83266
1.47 -0.982 0.190586 -1.19684 -6.16588
1.5 -1.00032 0.00333183 -0.020862 -6.28091
1.53 -0.983244 -0.18404 1.15586 -6.17371
1.56 -0.931377 -0.364899 2.29172 -5.84804
1.59 -0.846553 -0.532847 3.34653 -5.31543
1.62 -0.731772 -0.681938 4.28298 -4.59467
1.65 -0.591094 -0.806895 5.06792 -3.71124
1.68 -0.429495 -0.903293 5.67355 -2.69638
1.71 -0.252694 -0.967718 6.07842 -1.58596
1.74 -0.0669479 -0.997886 6.26814 -0.419276
1.77 0.121168 -0.992724 6.23595 0.762383
1.8 0.304994 -0.952412 5.98294 1.91718
1.83 0.478019 -0.878373 5.51802 3.0042
1.86 0.634115 -0.773226 4.85763 3.98492
1.89 0.76775 -0.640692 4.02512 4.82459
1.92 0.87419 -0.485464 3.04997 5.49341
1.95 0.949663 -0.313039 1.96672 5.96766
1.98 0.991494 -0.129524 0.813765 6.23052
2.01 0.998199 0.0585789 -0.368038 6.27266
